Scientific_Name,Common Name,Whitelisted_Brazil,BirdNET,Custom_Model,Perch,Max,Threat Status,Image_URL,Attribution,Custom_MaxConf,Perch_MaxConf,Overall_MaxConf
Anhinga anhinga,American Darter,1,54,29,163,163,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/63228328/medium.jpg,(c) Nick Pederson; some rights reserved (CC BY-NC); uploaded by Nick Pederson,0.6347,0.3992,0.6347
Nycticorax nycticorax,Black-Crowned Night-Heron,1,13,39,87,87,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/49357930/medium.jpg,no rights reserved; uploaded by Kyle Nessen,0.4286,0.2384,0.4286
Ardea alba,Great Egret,,323,7,6,323,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg,(c) daverowe; some rights reserved (CC BY-NC),0.6373,0.8183,0.8183
Ardea cocoi,Cocoi Heron,1,23,2,2,23,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/150223557/medium.jpg,(c) Paul Donahue; some rights reserved (CC BY-NC); uploaded by Paul Donahue,0.2814,0.3536,0.3536
Syrigma sibilatrix,Whistling Heron,1,30,16,1,30,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/178484205/medium.jpg,(c) Oswaldo Hernández; some rights reserved (CC BY-NC); uploaded by Oswaldo Hernández,0.1532,0.7495,0.7495
Bubulcus ibis,Cattle Egret,1,30,1,20,30,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/278764160/medium.jpg,(c) Алексей Сизов; some rights reserved (CC BY-NC); uploaded by Алексей Сизов,0.4856,0.3089,0.4856
Pilherodius pileatus,Capped Heron,1,50,15,52,52,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/65789380/medium.jpg,(c) Carlos Sanchez; some rights reserved (CC BY-NC); uploaded by Carlos Sanchez,0.4545,0.6885,0.6885
Butorides striata,Green-Backed Heron,,35,5,130,130,LC,https://static.inaturalist.org/photos/182999416/medium.jpg,(c) Juan Miguel Artigas Azas; all rights reserved; uploaded by Juan Miguel Artigas Azas,0.8881,0.4219,0.8881
Cochlearius cochlearius,Boat-Billed Heron,1,28,11,43,43,LC,https://static.inaturalist.org/photos/175873168/medium.jpeg,(c) Oscar Perez; all rights reserved; uploaded by Oscar Perez,0.4083,0.7479,0.7479
Egretta thula,Snowy Egret,1,11,111,12,111,LC,https://static.inaturalist.org/photos/107527504/medium.jpeg,(c) Juan Miguel Artigas Azas; all rights reserved; uploaded by Juan Miguel Artigas Azas,0.3545,0.7463,0.7463
Tigrisoma lineatum,Rufescent Tiger-Heron,1,4,24,33,33,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/21359/medium.jpg,(c) ClÃ¡udio Dias Timm; some rights reserved (CC BY-NC-SA),0.447,0.7559,0.7559
Phimosus infuscatus,Bare-Faced Ibis,1,13,51,11,51,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/417897827/medium.jpg,(c) Bernard DUPONT; some rights reserved (CC BY-SA),0.8495,0.727,0.8495
Platalea ajaja,Roseate Spoonbill,1,182,8,41,182,LC,https://static.inaturalist.org/photos/32776247/medium.jpg,(c) drdad; all rights reserved,0.7768,0.2235,0.7768
Plegadis chihi,White-Faced Ibis,1,7,13,34,34,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/131864344/medium.jpg,(c) assmann; some rights reserved (CC BY-NC); uploaded by assmann,0.4173,0.818,0.818
Theristicus caudatus,Buff-Necked Ibis,1,345,47,5,345,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/9867600/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.2633,0.1439,0.2633
Mesembrinibis cayennensis,Green Ibis,1,2,19,19,19,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/26715632/medium.jpeg,(c) guyincognito; some rights reserved (CC BY-NC); uploaded by guyincognito,0.1376,0.4576,0.4576
Coragyps atratus,Black Vulture,1,1,332,1,332,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/14689662/medium.jpg,(c) llsproat; some rights reserved (CC BY-NC-SA),0.2181,0.2711,0.2711
Sarcoramphus papa,King Vulture,1,102,20,59,102,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/2967049/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.7464,0.4028,0.7464
Cathartes burrovianus,Lesser Yellow-Headed Vulture,1,352,10,2,352,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/254277476/medium.jpg,(c) Anthony Batista; some rights reserved (CC BY); uploaded by Anthony Batista,0.4144,0.5378,0.5378
Cathartes aura,Turkey Vulture,1,32,12,9,32,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/52277010/medium.jpg,(c) Seig; some rights reserved (CC BY); uploaded by Seig,0.3356,0.1903,0.3356
Pandion haliaetus,Osprey,1,1,3,3,3,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/6903515/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.6038,0.4852,0.6038
Accipiter striatus,Plain-Breasted Hawk,,4,61,63,63,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/112860673/medium.jpeg,(c) Troy B; some rights reserved (CC BY); uploaded by Troy B,0.4383,0.5035,0.5035
Elanoides forficatus,Swallow-Tailed Kite,1,6,98,5,98,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/21518168/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.107,0.247,0.247
Elanus leucurus,White-Tailed Kite,1,52,98,48,98,LC,https://static.inaturalist.org/photos/114637752/medium.jpeg,(c) parped; all rights reserved; uploaded by parped,0.2989,0.7999,0.7999
Harpia harpyja,Harpy Eagle,1,31,3,1,31,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/447085421/medium.jpeg,(c) Christoph Moning; some rights reserved (CC BY); uploaded by Christoph Moning,0.4286,0.8424,0.8424
Spizaetus melanoleucus,Black And White Hawk Eagle,1,35,57,58,58,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/29853207/medium.jpeg,(c) juanflores; some rights reserved (CC BY-NC); uploaded by juanflores,0.7128,0.3245,0.7128
Spizaetus ornatus,Ornate Hawk-Eagle,1,1,1,24,24,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/187884875/medium.jpg,(c) gabovinasco1; some rights reserved (CC BY-NC),0.1256,0.2983,0.2983
Spizaetus tyrannus,Black Hawk-Eagle,1,1,3,19,19,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/32282100/medium.jpg,(c) Dave Wendelken; some rights reserved (CC BY-NC); uploaded by Dave Wendelken,0.1967,0.3583,0.3583
Harpagus diodon,Rufous-Thighed Kite,1,51,5,2,51,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/137079349/medium.jpg,(c) NINA WENÓLI; some rights reserved (CC BY-NC); uploaded by NINA WENÓLI,0.5536,0.309,0.5536
Buteogallus urubitinga,Great Black-Hawk,1,29,1,6,29,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/56759119/medium.jpg,(c) Allan Hopkins; some rights reserved (CC BY-NC-ND),0.1139,0.2276,0.2276
Buteogallus meridionalis,Savanna Hawk,1,32,32,87,87,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/12999578/medium.jpg,(c) Francesco Veronesi; some rights reserved (CC BY-SA),0.1692,0.4177,0.4177
Parabuteo unicinctus,Harris' Hawk,1,1,3,2,3,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/191470/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.5778,0.2448,0.5778
Buteogallus coronatus,,0,28,138,128,138,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/27997355/medium.jpg,(c) Ronald Péret; some rights reserved (CC BY); uploaded by Ronald Péret,0.6651,0.5754,0.6651
Pseudastur polionotus,,,8,46,6,46,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/189218626/medium.jpg,(c) Joseane Derengoski; some rights reserved (CC BY-NC); uploaded by Joseane Derengoski,0.8501,0.7906,0.8501
Buteo brachyurus,Short-Tailed Hawk,1,12,43,23,43,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/102440509/medium.jpeg,(c) Patricia Tiller; some rights reserved (CC BY-NC); uploaded by Patricia Tiller,0.1564,0.7623,0.7623
Buteo albonotatus,Zone-Tailed Hawk,1,340,6,25,340,LC,https://static.inaturalist.org/photos/25862687/medium.jpg,(c) Chris McCreedy; all rights reserved; uploaded by Chris McCreedy,0.4223,0.1314,0.4223
Circus buffoni,Long-Winged Harrier,1,15,18,29,29,LC,https://static.inaturalist.org/photos/175751949/medium.jpeg,(c) Hernán Tolosa; all rights reserved; uploaded by Hernán Tolosa,0.6116,0.6002,0.6116
Busarellus nigricollis,Black-Collared Hawk,1,9,42,3,42,LC,https://static.inaturalist.org/photos/121909793/medium.jpeg,(c) julianformosa; all rights reserved,0.8304,0.1986,0.8304
Geranospiza caerulescens,Crane Hawk,1,31,27,17,31,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/93130641/medium.jpg,(c) Geir Drange; some rights reserved (CC BY-NC); uploaded by Geir Drange,0.2345,0.7934,0.7934
Geranoaetus melanoleucus,Black-Chested Buzzard-Eagle,1,42,31,13,42,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/1583597/medium.JPG,(c) Leandro Alvarez; some rights reserved (CC BY-NC-SA); uploaded by Leandro Alvarez,0.626,0.3869,0.626
Geranoaetus albicaudatus,,,1,102,4,102,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/28307358/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.9127,0.6048,0.9127
Rupornis magnirostris,,0,78,101,133,133,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/14667/medium.jpg,(c) Dario Sanches; some rights reserved (CC BY-SA),0.5084,0.3357,0.5084
Gampsonyx swainsonii,Pearl Kite,1,8,1,14,14,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/181321770/medium.jpeg,(c) David Ángel-Vasco; some rights reserved (CC BY-NC); uploaded by David Ángel-Vasco,0.1014,0.7888,0.7888
Accipiter poliogaster,Grey-Bellied Goshawk,1,14,30,11,30,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/175723204/medium.jpg,(c) Norton Santos; some rights reserved (CC BY-NC); uploaded by Norton Santos,0.2448,0.3462,0.3462
Accipiter erythropus,Red-Thighed Sparrowhawk,,9,48,48,48,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/600803682/medium.jpg,(c) Saint Guillaume K. ODOUKPE; some rights reserved (CC BY-NC); uploaded by Saint Guillaume K. ODOUKPE,0.4555,0.2952,0.4555
Ictinia plumbea,Plumbeous Kite,1,33,9,14,33,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/28973486/medium.jpeg,(c) Gustavo Fernando Durán; some rights reserved (CC BY-NC-SA); uploaded by Gustavo Fernando Durán,0.5022,0.8044,0.8044
Leptodon cayanensis,White-Collared Kite,1,5,5,10,10,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/93330234/medium.jpeg,(c) andretostes; some rights reserved (CC BY-NC); uploaded by andretostes,0.4259,0.6464,0.6464
Accipiter superciliosus,Tiny Hawk,1,10,120,10,120,LC,https://static.inaturalist.org/photos/57306267/medium.jpg,(c) I.Fong; all rights reserved; uploaded by I.Fong,0.2426,0.1333,0.2426
Accipiter bicolor,Bicoloured Hawk,1,49,336,58,336,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/254463944/medium.jpg,(c) El Chivizcoyo; some rights reserved (CC BY-NC); uploaded by El Chivizcoyo,0.2478,0.4235,0.4235
Rostrhamus sociabilis,Everglade Kite,1,230,58,1,230,LC,https://static.inaturalist.org/photos/3492573/medium.jpg,(c) John Beatty; all rights reserved,0.736,0.9878,0.9878
Pardirallus nigricans,Blackish Rail,1,35,58,41,58,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/102045611/medium.jpg,(c) abelardomendesjr; some rights reserved (CC BY-NC); uploaded by abelardomendesjr,0.6229,0.5158,0.6229
Laterallus leucopyrrhus,Red-And-White Crake,1,11,150,35,150,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/102043670/medium.jpg,(c) Norton Santos; some rights reserved (CC BY-NC); uploaded by Norton Santos,0.4046,0.7253,0.7253
Laterallus melanophaius,Rufous-Sided Crake,1,6,37,11,37,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/922856/medium.jpg,(c) Cláudio Dias Timm; some rights reserved (CC BY-NC-SA),0.5535,0.1809,0.5535
Laterallus xenopterus,Rufous-Faced Crake,1,4,1,53,53,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/176298508/medium.jpeg,(с) Luiz Alberto Santos; некоторые права защищены (CC BY-NC); загрузил Luiz Alberto Santos,0.1419,0.555,0.555
Mustelirallus albicollis,,,3,105,35,105,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/140239913/medium.jpg,(c) eduardovieira17; some rights reserved (CC BY-NC); uploaded by eduardovieira17,0.4396,0.9865,0.9865
Porphyrio flavirostris,Azure Gallinule,1,8,29,26,29,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/8186586/medium.jpeg,(c) Vincent A. Vos; some rights reserved (CC BY); uploaded by Vincent A. Vos,0.5941,0.3128,0.5941
Porphyrio martinica,Purple Gallinule,1,55,1,14,55,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/246710060/medium.jpg,(c) Bert Filemyr; some rights reserved (CC BY-NC); uploaded by Bert Filemyr,0.2275,0.814,0.814
Aramides ypecaha,Giant Wood-Rail,1,5,4,1,5,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/35204644/medium.jpeg,(c) Gonzalo Roget; some rights reserved (CC BY); uploaded by Gonzalo Roget,0.2836,0.4564,0.4564
Aramides saracura,Slaty-Breasted Wood-Rail,1,20,2,56,56,LC,https://static.inaturalist.org/photos/38306077/medium.jpg,(c) Eden Fontes; all rights reserved; uploaded by Eden Fontes,0.5709,0.5318,0.5709
Aramides cajaneus,Grey Necked Wood Rail,,156,65,119,156,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/9869836/medium.jpg,(c) Greg Lasley; some rights reserved (CC BY-NC); uploaded by Greg Lasley,0.7683,0.7841,0.7841
Gallinula galeata,Common Gallinule,0,29,40,5,40,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/30905992/medium.jpg,(c) uzun; some rights reserved (CC BY-NC); uploaded by uzun,0.965,0.7781,0.965
Micropygia schomburgkii,Ocellated Crake,1,40,31,12,40,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/176295999/medium.jpeg,(c) Luiz Alberto Santos; some rights reserved (CC BY-NC); uploaded by Luiz Alberto Santos,0.1042,0.6632,0.6632
Gallinula chloropus,Common Moorhen,1,3,22,90,90,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/171773229/medium.jpg,(c) Alexis Lours; some rights reserved (CC BY); uploaded by Alexis Lours,0.6838,0.5518,0.6838
Pardirallus maculatus,Spotted Rail,1,13,326,51,326,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/409308281/medium.jpeg,(c) Yve Morrell; some rights reserved (CC BY-NC); uploaded by Yve Morrell,0.2869,0.7363,0.7363
Aramus guarauna,Limpkin,1,45,51,44,51,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/161521395/medium.jpg,(c) David Monroy R; some rights reserved (CC BY-NC); uploaded by David Monroy R,0.5595,0.6395,0.6395
Himantopus mexicanus,Black-Necked Stilt,1,51,26,46,51,LC,https://static.inaturalist.org/photos/114045609/medium.jpeg,(c) Hayath Mohammed; all rights reserved; uploaded by Hayath Mohammed,0.4376,0.6638,0.6638
Himantopus himantopus,Black-Winged Stilt,1,33,49,3,49,LC,https://static.inaturalist.org/photos/114045609/medium.jpeg,(c) Hayath Mohammed; all rights reserved; uploaded by Hayath Mohammed,0.4634,0.1947,0.4634
Vanellus chilensis,Southern Lapwing,1,8,1,5,8,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/261192086/medium.jpg,(c) Nicolas Mazzini; some rights reserved (CC BY-NC); uploaded by Nicolas Mazzini,0.1072,0.2759,0.2759
Pluvialis dominica,American Golden-Plover,1,15,24,7,24,LC,https://static.inaturalist.org/photos/88797908/medium.jpg,(c) Don-Jean Leandri-Breton; all rights reserved; uploaded by Don-Jean Leandri-Breton,0.6205,0.6298,0.6298
Vanellus cayanus,Pied Lapwing,1,7,8,29,29,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/239368233/medium.jpg,(c) Paul Tavares; some rights reserved (CC BY-NC); uploaded by Paul Tavares,0.7247,0.3921,0.7247
Charadrius collaris,Collared Plover,1,60,15,40,60,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/206082386/medium.jpg,(c) eduardovieira17; some rights reserved (CC BY-NC); uploaded by eduardovieira17,0.4577,0.8071,0.8071
Jacana jacana,Wattled Jacana,1,7,42,50,50,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/54870095/medium.jpeg,(c) Eric Carpenter; some rights reserved (CC BY-NC); uploaded by Eric Carpenter,0.6999,0.7734,0.7734
Gallinago paraguaiae,Magellan Snipe,1,33,17,11,33,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/23045173/medium.jpeg,(c) Leonel Roget; some rights reserved (CC BY); uploaded by Leonel Roget,0.6094,0.4032,0.6094
Tringa melanoleuca,Greater Yellowlegs,0,132,23,3,132,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/48630238/medium.jpeg,(c) Pablo Balduvino; some rights reserved (CC BY-NC); uploaded by Pablo Balduvino,0.58,0.793,0.793
Tringa flavipes,Lesser Yellow-Legs,1,8,379,1,379,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/260887463/medium.jpg,(c) Jonathan Irons; some rights reserved (CC BY-NC); uploaded by Jonathan Irons,0.5006,0.3247,0.5006
Calidris fuscicollis,White-Rumped Sandpiper,1,364,17,7,364,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/137964615/medium.jpeg,(c) Hannah Floyd; some rights reserved (CC BY-NC); uploaded by Hannah Floyd,0.2018,0.4463,0.4463
Tringa solitaria,Solitary Sandpiper,1,7,8,13,13,LC,https://static.inaturalist.org/photos/101768794/medium.jpeg,(c) Juan Miguel Artigas Azas; all rights reserved; uploaded by Juan Miguel Artigas Azas,0.7597,0.3087,0.7597
Gallinago undulata,Giant Snipe,1,57,276,14,276,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/390363916/medium.jpg,(c) Luciano Bernardes; some rights reserved (CC BY-NC); uploaded by Luciano Bernardes,0.2892,0.572,0.572
Actitis macularius,Spotted Sandpiper,1,1,1,19,19,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/46532647/medium.jpg,(c) Jason Headley; some rights reserved (CC BY-NC); uploaded by Jason Headley,0.8499,0.3625,0.8499
Rynchops niger,Black Skimmer,1,57,1,163,163,LC,https://static.inaturalist.org/photos/112394454/medium.jpg,(c) Mariano Ordoñez; all rights reserved; uploaded by Mariano Ordoñez,0.7294,0.566,0.7294
Phaetusa simplex,Large-Billed Tern,1,8,2,52,52,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/54870147/medium.jpeg,(c) Eric Carpenter; some rights reserved (CC BY-NC); uploaded by Eric Carpenter,0.1221,0.8108,0.8108
Patagioenas plumbea,Plumbeous Pigeon,1,4,13,6,13,LC,https://static.inaturalist.org/photos/363242635/medium.jpg,(c) Eduardo Borges; all rights reserved; uploaded by Eduardo Borges,0.3311,0.1552,0.3311
Claravis pretiosa,Blue Ground-Dove,1,2,5,1,5,LC,https://static.inaturalist.org/photos/136201418/medium.jpg,(c) Mike Hooper; all rights reserved; uploaded by Mike Hooper,0.6071,0.1005,0.6071
Patagioenas picazuro,Picazuro Pigeon,1,32,2,26,32,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/48616256/medium.jpeg,(c) Pablo Balduvino; some rights reserved (CC BY-NC); uploaded by Pablo Balduvino,0.3885,0.5544,0.5544
Leptotila rufaxilla,Grey-Fronted Dove,1,2,2,119,119,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/5643258/medium.jpeg,(c) Claudia Komesu; some rights reserved (CC BY-NC); uploaded by Claudia Komesu,0.1336,0.6833,0.6833
